"layer","finding_id","severity","root_cause_bucket","audit_doc","source_line","original_reproducer","expected_invariant","status_v100","status_candidate","status_final","closing_commit","validation_command","validation_result","perf_result","notes"
"Layer 6 Codegen/IR","C-001","Critical","type_contracts_and_substitution","docs/audit/findings/audit_recon_pass1_codegen_2026-05-08.md","86","","- **CRITICAL - silent miscompile** - `u64` ordered comparison uses signed `icmp`","audit_reported","claimed_closed_needs_proof","proven_closed","","bin\nucleor.exe build tests\lang\audit_lane1_u64_compare.nr -o _audit_c001 --no-cache; if ($LASTEXITCODE -ne 0) { exit $LASTEXITCODE }; target\_audit_c001.exe; if ($LASTEXITCODE -ne 0) { exit $LASTEXITCODE }; bin\nucleor.exe build tests\lang\audit_lane1_u64_direct_literals.nr -o _audit_c001_literals --no-cache; if ($LASTEXITCODE -ne 0) { exit $LASTEXITCODE }; target\_audit_c001_literals.exe","PASS rc=0; typed-local and direct-suffixed-literal u64 comparisons return expected unsigned results","promoted 1.1.0 no-link 4.088s; v1.0.0 binary same source no-link 3.203s; ownership phase 2078ms; release perf debt remains open","closed with unsigned iops 38..41 plus literal suffix propagation"
"Layer 6 Codegen/IR","C-002","Critical","type_contracts_and_substitution","docs/audit/findings/audit_recon_pass1_codegen_2026-05-08.md","125","","- **CRITICAL - silent miscompile** - `u64` right-shift uses `ashr` (sign-extending)","audit_reported","claimed_closed_needs_proof","proven_closed","","bin\nucleor.exe build tests\lang\audit_lane1_u64_shift.nr -o _audit_c002 --no-cache; if ($LASTEXITCODE -ne 0) { exit $LASTEXITCODE }; target\_audit_c002.exe; if ($LASTEXITCODE -ne 0) { exit $LASTEXITCODE }; bin\nucleor.exe build tests\lang\audit_lane1_u64_direct_literals.nr -o _audit_c002_literals --no-cache; if ($LASTEXITCODE -ne 0) { exit $LASTEXITCODE }; target\_audit_c002_literals.exe","PASS rc=0; u64 right shift uses logical zero-fill for typed locals and direct suffixed literals","promoted 1.1.0 no-link 4.088s; v1.0.0 binary same source no-link 3.203s; ownership phase 2078ms; release perf debt remains open","closed with iop 25 lshr and panic_shr_u64 route"
"Layer 6 Codegen/IR","C-003","Critical","type_contracts_and_substitution","docs/audit/findings/audit_recon_pass1_codegen_2026-05-08.md","163","","- **CRITICAL - silent miscompile** - `u64` division and remainder use signed `sdiv` / `srem`","audit_reported","claimed_closed_needs_proof","proven_closed","","bin\nucleor.exe build tests\lang\audit_lane1_u64_divmod.nr -o _audit_c003 --no-cache; if ($LASTEXITCODE -ne 0) { exit $LASTEXITCODE }; target\_audit_c003.exe; if ($LASTEXITCODE -ne 0) { exit $LASTEXITCODE }; bin\nucleor.exe build tests\lang\audit_lane1_u64_direct_literals.nr -o _audit_c003_literals --no-cache; if ($LASTEXITCODE -ne 0) { exit $LASTEXITCODE }; target\_audit_c003_literals.exe","PASS rc=0; u64 div/rem use unsigned runtime helpers for typed locals and direct suffixed literals","promoted 1.1.0 no-link 4.088s; v1.0.0 binary same source no-link 3.203s; ownership phase 2078ms; release perf debt remains open","closed with panic_div_u64/panic_rem_u64 route and literal suffix propagation"
"Layer 6 Codegen/IR","C-004","High","type_contracts_and_substitution","docs/audit/findings/audit_recon_pass1_codegen_2026-05-08.md","195","","- **HIGH - optimizer-vs-runtime semantic agreement (subtle)** - bitwise fold with negative operand is silently skipped, masking a divergence-finder regression","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_codegen_audit_slice.ps1 -Finding C-004","PASS rc=0; high-bit hex i64 constants fold through optimizer to constants, fixture exits 42, emitted LLVM has no residual and/or/xor i64 instructions","promoted 1.1.0 no-link median 4.127s over 7 samples; max 4.140s","closed by replacing division-based emulated bit loop with the language's native i64 bitwise operators in opt_fold_block"
"Layer 5 Concurrency/RT","F-CONC-001","Critical","concurrency_and_rt","docs/audit/findings/audit_recon_pass1_concurrency_2026-05-08.md","83","","- Atomic raw-handle layer is unsound: reconstructed/forged/freed handles cause UAF and SEGV  [CRITICAL]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_concurrency_audit_slice.ps1 -Finding F-CONC-001","PASS rc=0; struct-literal forging emits CONC-G6-OPAQUE-HANDLE, typed constructor roundtrip passes, and raw forged/freed atomic helpers return 0 without dereferencing invalid pointers","promoted 1.1.0 no-link median 4.127s over 7 samples after C-004 promotion","closed by compile-time opaque Atomic* constructor gate plus runtime registry validation for legacy raw atomic helpers"
"Layer 5 Concurrency/RT","F-CONC-002","Critical","concurrency_and_rt","docs/audit/findings/audit_recon_pass1_concurrency_2026-05-08.md","107","","- `thread_future_get` double-free crashes the process  [CRITICAL]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_concurrency_audit_slice.ps1 -Finding F-CONC-002","PASS rc=0; thread runtime has consumed guard and double-get smoke returns first result then 0 sentinel without heap crash","promoted 1.1.0 no-link 4.088s; no compiler hot-path change in this closure slice","closed by Future consumed guard plus executable double-consume smoke"
"Layer 5 Concurrency/RT","F-CONC-003","High","concurrency_and_rt","docs/audit/findings/audit_recon_pass1_concurrency_2026-05-08.md","135","","- `#[deadline]` runtime check is post-hoc; no mid-execution trap  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_concurrency_audit_slice.ps1 -Finding F-CONC-003","PASS rc=0; emitted LLVM includes deadline_enter, loop-header deadline_poll, and deadline_exit; runtime overrun emits RT-004 before loop completion","promoted 1.1.0 no-link median 4.183s over 7 samples; max 4.194s","closed by TLS deadline context plus scoped loop-header polling in __nuc_dl_inner_* functions"
"Layer 5 Concurrency/RT","F-CONC-004","High","concurrency_and_rt","docs/audit/findings/audit_recon_pass1_concurrency_2026-05-08.md","157","","- `#[no_alloc]` substring scanner misses RFC-listed canonical patterns  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_concurrency_audit_slice.ps1 -Finding F-CONC-004","PASS rc=0; Vec::with_capacity and Box::new negative fixtures emit RT-001","promoted 1.1.0 no-link 4.088s; no compiler hot-path change in this closure slice","closed for the audit-listed canonical allocation patterns covered by tests/err"
"Layer 5 Concurrency/RT","F-CONC-005","High","concurrency_and_rt","docs/audit/findings/audit_recon_pass1_concurrency_2026-05-08.md","186","","- `#[atomic]` and `#[isr]` blocking-call detection is single-hop only  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_concurrency_audit_slice.ps1 -Finding F-CONC-005","PASS rc=0; atomic and ISR wrapper-call negative fixtures emit ATOMIC-001","promoted 1.1.0 no-link 4.088s; no compiler hot-path change in this closure slice","closed for friendly stdlib wrapper calls conc_lock/conc_recv class covered by tests/err"
"Layer 5 Concurrency/RT","F-CONC-006","High","concurrency_and_rt","docs/audit/findings/audit_recon_pass1_concurrency_2026-05-08.md","211","","- Mutex semantics differ across platforms (Windows reentrant, POSIX non-recursive)  [HIGH]","audit_reported","claimed_closed_needs_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_concurrency_audit_slice.ps1 -Finding F-CONC-006","PASS rc=0; POSIX runtime initializes PTHREAD_MUTEX_RECURSIVE and recursive mutex smoke passes","promoted 1.1.0 no-link 4.088s; runtime/source/test closure only","closed by choosing recursive mutex semantics consistently across Windows and POSIX"
