NR001	Source Input Failure	Nucleor could not read the requested source file.	The compiler could not open or read the input file. This is usually a path, permission, or working-directory problem rather than a language error.	Verify the file path passed to the command.Check file permissions and current working directory.If using a package, confirm [build].entry points to an existing file.
NR005	Module Resolution Failure	A use target or package import could not be resolved safely.	The import graph could not be resolved because a target was missing, escaped its package boundary, created a cycle, or conflicted with another exported symbol.	Check the imported path or package alias.Ensure the import stays inside the package root.Look for duplicate exported names or cyclic imports.
NR010	Lexical Syntax Failure	The lexer found an invalid character or token shape.	The source text cannot be tokenized into valid Nucleor tokens. This usually means a malformed literal, a non-ASCII identifier, or an unexpected character.	Check the reported source offset for the invalid character.Verify string and numeric literal syntax.Keep identifiers ASCII-only.
NR020	Parser Failure	The token stream does not form valid Nucleor syntax.	The parser reached a token sequence that does not match the grammar. This is usually a missing delimiter, malformed declaration, or invalid expression shape.	Check the line and column around the reported span.Look for missing braces, commas, semicolons, or parentheses.Verify declaration headers and function signatures.
PARSE-LET-SEMI	Missing semicolon after let statement	A `let` statement initializer was not terminated by `;`, so the next token would otherwise be parsed as a separate expression statement.	Nucleor requires `let name: Type = expr;` or `let name = expr;`. Pre-v1.1 builds could accept input such as `let x: i64 = 1 2 3;` and silently drop the trailing tokens as no-op expression statements. The parser now rejects the statement before lowering or codegen.	Add `;` immediately after the let initializer.If another value follows the initializer, connect it with an explicit operator or split it into a separate statement.Re-run the build and check the first token named after the reported byte offset.
NR030	Semantic Type Failure	The program parsed, but semantic typing rules were violated.	The checker rejected the program because types, names, effects, or ownership rules did not line up. More specific semantic failures use narrower codes when possible.	Read the concrete message for the exact mismatch.Check variable names, function signatures, and return types.Use nuc explain on any more specific code shown with the diagnostic.
NR031	Borrow Safety Failure (legacy — superseded by RFC-0062 G-series at v1.0)	Ownership or borrowing rules were violated. (Legacy code — at v1.0 the modern compiler emits the specific RFC-0062 G-series codes instead: OWN-G4-USE-AFTER-DROP, OWN-G8-COND-MOVE, BORROW-G2-LIFETIME, ALIAS-G3-VEC-OF-REFS, ALIAS-G3-HASHMAP-REHASH, INIT-G11-READ-BEFORE-INIT, SEND-G6-* — see `nuc explain <CODE>` for any of those.)	The checker found an illegal aliasing, move, or borrow pattern. Typical causes are moving a borrowed value, mixing shared and mutable borrows, or using a value after move.	Check whether the value was moved earlier in the scope.Avoid overlapping shared and mutable borrows.Introduce a narrower scope so the borrow ends before the next use.
NR032	Effect or Policy Failure	A denied effect, purity rule, or policy restriction was violated.	The program attempted an operation that the current effect context, purity contract, or active policy block does not allow.	Check the function effect list and current restricts or policy context.Add the required effect only if the operation is intentionally impure.If the operation must stay pure, refactor the side effect out of the function.
NR033	Taint Safety Failure	Tainted data reached a location that requires trusted input.	The taint system prevented untrusted data from flowing into a sink that expects sanitized or trusted values.	Identify the tainted source in the data flow.Sanitize or validate the value before the sink.Keep tainted and trusted values separated until validation is complete.
NR034	Send/Sync Safety Failure	A spawned or shared context captured a type that is not safe to transfer or share.	The checker found a cross-thread or cross-scope capture that violates Nucleor's Send/Share rules. This usually means a resource, mutable reference, or other non-Send value crossed a spawn boundary.	Move only owned Send values into spawn blocks.Avoid capturing mutable references across thread boundaries.Wrap shared state in a synchronization primitive only when the underlying payload is allowed.
